Algorithm,Pair,Duration
Dijkstra,1,0.1279745101928711
Dijkstra,2,0.3533661365509033
Dijkstra,3,0.2086801528930664
Dijkstra,4,0.20341944694519043
Dijkstra,5,0.14129424095153809
Bellman-Ford,1,1.091973066329956
Bellman-Ford,2,1.4857356548309326
Bellman-Ford,3,1.137704610824585
Bellman-Ford,4,1.1921789646148682
Bellman-Ford,5,1.223942756652832
Floyd-Warshall,1,302.2489061355591
Floyd-Warshall,2,302.24888801574707
Floyd-Warshall,3,302.24889612197876
Floyd-Warshall,4,302.2489047050476
Floyd-Warshall,5,302.24892377853394
